aapõ,1,3
aikõ,1,3
airo,3,2
aitõ,1,3
alku,6,2
alõin,1,0
angõriaz,8,14
asfi,9,
az̕z̕õ,5,3
auči,6,2
bagaži,3,2
baldõhina,10,3
bank,4,3
biblioteekkõ,1,5
biskvittõ,1,5
borovikkõ,1,3
bukvõ,5,5
bul̕bukõz,1,14
čenče,1,8
čeväd,16,15
čimolain,1,12
čäčüd,18,15
čämmel,17,15
čülä,14,8
čümmenäz,1,13
čümme,17,13
dokumentti,11,2
dovariššõ,1,3
eine,5,8
enči,1,7
entin,1,12
famil̕i,5,2
flakku,11,2
galstukki,11,2
greebeni,3,2
hammõz,1,14
hapo,21,2
hattu,11,2
häülütüs,17,0
hüppü,11,2
ičä,1,8
iiri,1,10
inostranttsõ,13,3
irvi,1,7
ivusõd,23,15
jalgõz,7,0
juuri,1,10
jõutu,24,3
järčü,6,2
kaatsõd,25,15
kahs,7,10
kahõsa,1,13
kalliz,8,14
kand̕idaattõ,1,3
kangõz,1,14
kanka,14,6
kannõl,17,15
karjušši,19,2
kasõ,26,14
katõ,26,14
kauniz,27,14
kaõ,3,0
kerkiä,14,6
kitai,5,8
kittsi,11,2
klaassõ,1,3
koffi,19,2
koivuin,1,12
komit̕et,17,2,
kompjutera,10,5
koollud,1,15
koorrõ,29,15
kotko,6,2
kraaskõ,1,3
kuha,14,5
kultõ,1,5
kurki,1,7
kurp,1,5
kursi,20,2
kusi,7,10
kuto,31,0
kuusi,1,7
kuuvvaiz,1,13
kuõ,32,14
kõik,17,5
kõlmaz,1,13
kõlmõd,16,15
kõva,14,8
lafkõ,1,3
lahti,1,7
laki,1,7
lako,15,2
lamppi,11,2
lauto,3,0
leipe,1,8
lento,6,2
liippõ,1,3
l̕iitkõ,1,3
lippu,11,2
lisä,33,8
lootõ,1,5
luiskõ,1,5
lumi,1,10
lõunõ,1,14
lähe,26,14
läikki,34,2
läkine,5,8
läsijä,10,8
löülü,3,2
lühüd,1,
maamuna,10,5
maa,14,1
mahsu,20,2
mahsõ,1,3
makuz,1,11
mato,30,0
mesi,1,10
mettse,13,8
mokom,4,5
moodnoi,12,0
moškõ,1,5
murhõ,14,0
mussõ,1,5
mõnikõz,1,0
märännü,14,15
mätä,1,8
nel̕l̕äz,1,13
nenä,14,8
nüčüin,1,0
olud,36,15
oonõ,14,15
paha,14,3
pal̕l̕õz,1,14
partõ,1,3
passi,11,2
peremmeez,1,15
pere,3,14
pesä,1,8
pii,37,1
pintõ,1,3
poduškõ,1,3
poikõ,1,5
poolõz,1,14
portugaalija,14,0
poštaljon,17,2
poutõ,1,3
propkõ,1,5
puhaz,2,14
puu,14,1
põlto,6,2
põrzõz,1,14
põski,1,7
pähčen,4,8
pää,14,1
pühä,14,8
püütö,6,0
raadio,3,0
rakõ,26,14
rapa,1,3
raskõz,1,14
ratiz,2,14
rihenneüz,1,11
rikaz,2,14
rissimä,10,8
rissi,11,2
rooppõ,1,5
rusko,6,2
räpäle,5,8
rätte,11,2
rüiz,1,14
sarvi,1,7
sata,1,3
seemen,38,13
selče,1,8
seppe,1,8
sese,35,2
siipi,1,7
sika,1,3
siltõ,1,3
siso,35,2
slona,10,8
soo,14,1
susi,1,10
suuto,19,2
sää,14,1
sünti,6,2
süsiin,1,12
süä,14,13
süüčči,19,2
štanad,39,3
tarkuz,1,0
tauti,1,7
tee,14,1
terve,40,6
toho,14,15
tuhattõ,5,3
täi,28,1
täti,41,2
tükkü,11,2
tünke,1,8
tütär,22,13
tüü,14,1
ugurittsõ,13,0
uhsi,1,10
usa,1,5
uusi,1,10
vahti,19,2
vaka,6,0
varsi,1,10
varvõz,1,14
vetelüz,7,14
vihtõ,1,3
viki,21,2
vilppi,11,2
vimpõ,1,5
vipu,15,2
või,28,1
väči,1,7
õgaz,42,14
õhsõ,1,5
õja,14,8
õma,14,8
õmpõlija,10,8
õnnõliin,1,12
õnnõto,22,13
õpõin,43,12
änte,1,8
ärče,1,8
ühs,1,10
ülči,1,10
üvä,14,8
